Love is patient and is kind. Love doesn’t envy. Love doesn’t brag, is not proud,	1 Corinthians 13:4
But now faith, hope, and love remain—these three. The greatest of these is love.	1 Corinthians 13:13
Let all that you do be done in love.	1 Corinthians 16:14
with all lowliness and humility, with patience, bearing with one another in love,	Ephesians 4:2
And above all things be earnest in your love among yourselves, for love covers a multitude of sins.	1 Peter 4:8
Hatred stirs up strife, but love covers all wrongs.	Proverbs 10:12
He who doesn’t love doesn’t know God, for God is love.	1 John 4:8
For God so loved the world, that he gave his only born Son, that whoever believes in him should not perish, but have eternal life.	John 3:16
Husbands, love your wives, even as Christ also loved the assembly and gave himself up for her,	Ephesians 5:25
As you would like people to do to you, do exactly so to them.	Luke 6:31
I thank my God whenever I remember you,	Philippians 1:3
What therefore God has joined together, let no man separate.	Mark 10:9
Owe no one anything, except to love one another; for he who loves his neighbor has fulfilled the law.	Romans 13:8
My beloved is mine, and I am his. He browses among the lilies.	Song of Solomon 2:16
And hope doesn’t disappoint us, because God’s love has been poured into our hearts through the Holy Spirit who was given to us.	Romans 5:5
Yahweh appeared of old to me, saying, “Yes, I have loved you with an everlasting love. Therefore I have drawn you with loving kindness.	Jeremiah 31:3
